,1-0-5-amf,1250-0-5-amf,13-0-5-amf,1338-0-5-amf,1387-0-5-amf,522-0-5-amf,856-0-5-amf,98-0-5-amf,1601-0-5-AMF,1619-0-5-AMF,1832-0-5-AMF,1850-0-5-AMF,1859-0-5-AMF,1875-0-5-AMF,1973-0-5-AMF,2355-0-5-AMF,2352-0-5-AMF,2597-0-5-AMF,2398-0-5-AMF,2500-0-5-AMF,2537-0-5-AMF,2629-0-5-AMF,2869-0-5-AMF,2893-0-5-AMF,2923-0-5-AMF,3239-0-5-AMF,3381-0-5-AMF,3409-0-5-AMF,3500-0-5-AMF,3667-0-5-AMF,3682-0-5-AMF,3779-0-5-AMF,3907-0-5-AMF,473-0-5-AMF,672-0-5-AMF,717-0-5-AMF
ASV1913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000330797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000527148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000649632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3416,0,0,0,0,0,0,0,0,0,0,0,0.000553403,0,0,0,0,0,0,0,0.000816493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1904,0,0.001484047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2894,0,0.000742023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000745156
ASV3002,0,0.000989364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00061237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1849,0,0,0,0,0,0,0,0,0,0,0,0.001106807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000744048,0,0,0,0,0,0,0
ASV3411,0,0,0,0,0,0,0,0,0,0,0,0,0.000687285,0,0,0,0,0.000216544,0.001054296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002061249,0,0,0,0,0,0,0,0,0,0
ASV2736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002204262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2781,0,0.00222607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3593,0,0,0,0,0,0,0,0,0,0,0,0,0.000687285,0,0,0,0,0,0.001581444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002380952,0,0,0,0
ASV3461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002449479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002583979,0,0,0,0,0,0
ASV3673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273224
ASV805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00273224
ASV2464,0,0,0,0,0,0,0,0,0,0,0,0,0.002749141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002777778,0,0,0,0
ASV3296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002815071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001653986,0,0.000216544,0,0.001020616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002980626
ASV3515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002980626
ASV408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002980626
ASV3272,0,0,0,0,0,0,0,0,0.001802451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001190476,0,0,0,0
ASV3048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003061849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2549,0.001874414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000198413,0,0,0,0.000993542
ASV3417,0.001874414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000595238,0,0.000614251,0,0
ASV3687,0,0,0.003124024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00183711,0,0,0,0.00130719,0,0,0,0,0,0,0,0,0,0,0,0
ASV2811,0,0,0,0,0,0,0,0,0,0,0,0.001106807,0.002061856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2019,0,0,0,0,0,0,0,0,0,0,0,0,0.00137457,0.00084317,0,0,0,0.000433088,0.000527148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003229011
ASV3364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003229011
ASV3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003248159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003265973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00051573,0.002815071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003477397
ASV574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003516174,0,0,0,0,0
ASV976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003610108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2901,0,0,0,0,0,0,0,0,0.001441961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00218254,0,0,0,0
ASV1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003638769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3218,0,0,0,0,0.003738855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3374,0,0,0.003748828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV339,0,0,0.003748828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3559,0,0,0,0,0,0.002415459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001447178,0
ASV3648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003867792,0,0,0,0,0
ASV3649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003867792,0,0,0,0,0
ASV3045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003953611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003974168
ASV810,0,0,0,0,0,0,0,0,0,0,0,0,0.000687285,0,0,0,0,0.001732352,0.001581444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1093,0,0,0,0,0.00402646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004219409,0,0,0,0,0
ASV2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004222553
ASV2132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004222553
ASV3736,0,0.000742023,0,0,0,0,0,0,0,0.001116071,0,0,0,0,0,0,0,0,0,0,0,0,0.000614628,0,0,0,0,0.001848429,0,0,0,0,0,0,0,0
ASV3434,0,0,0,0,0,0,0,0,0.004325883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004416961,0,0,0,0,0,0,0,0,0,0
ASV1821,0,0,0,0,0,0,0,0,0,0,0,0.004427227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1155,0,0.00445214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3132,0,0.000247341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00131787,0,0,0,0,0,0,0,0,0.001848429,0,0,0.001054852,0,0,0,0,0
ASV2776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004470939
ASV1811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004480759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1905,0,0,0.004686036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV116,0,0,0.004686036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3271,0,0,0,0,0,0,0,0,0.004686373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004719324
ASV3408,0,0,0.000624805,0,0,0,0,0,0,0,0,0,0.004123711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2340,0,0,0,0,0,0,0,0,0,0,0,0.002213614,0,0,0,0,0,0.000866176,0,0,0,0,0.001843884,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2632,0,0,0.002186817,0,0,0,0,0,0,0.002790179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005208333,0,0,0
ASV2799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005208333,0,0,0,0,0,0,0
ASV3256,0,0,0,0,0,0.003220612,0,0,0,0,0,0,0,0,0,0.000661594,0,0,0,0.001428863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003307972,0,0,0,0,0,0.002107482,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1871,0,0.005441504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005228758,0,0,0,0,0,0,0,0,0,0,0,0.000248385
ASV517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005535055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2462,0,0.000494682,0,0,0.000287604,0,0,0,0,0,0,0,0,0,0,0,0,0.00216544,0,0,0,0,0,0.002614379,0,0,0,0,0,0,0,0,0,0,0,0
ASV3124,0,0,0,0,0,0.004830918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000744048,0,0,0,0,0,0,0
ASV571,0,0,0.005623243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005630143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005684755,0,0,0,0,0,0
ASV566,0,0.000494682,0,0,0,0,0,0,0.000720981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004563492,0,0,0,0
ASV1677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002977175,0,0.001732352,0,0.00122474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2443,0,0,0,0,0.006039689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002815071,0,0,0,0,0,0,0,0.003239105,0,0,0,0,0,0,0,0,0,0
ASV3868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006142506,0,0
ASV3007,0,0,0,0,0.000862813,0,0,0,0,0,0,0,0.003436426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001848429,0,0,0,0,0,0,0,0
ASV2720,0,0,0,0,0,0,0,0.002040816,0,0,0,0,0,0,0,0,0.00103146,0.000216544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002894356,0
ASV2510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006183746,0,0,0,0,0,0,0,0,0,0
ASV3158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001984783,0,0,0,0,0,0.004214963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006349206,0,0,0,0
ASV1478,0,0,0,0,0,0,0,0,0.000720981,0,0,0,0,0,0.002204262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297619,0,0,0,0.000496771
ASV1748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005889282,0,0,0,0.000516796,0,0,0,0,0,0
ASV2205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006458023
ASV2420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00647821,0,0,0,0,0,0,0,0,0,0
ASV2343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000992392,0,0.000433088,0,0.002245356,0,0.001580611,0,0.00130719,0,0,0,0,0,0,0,0,0,0,0,0
ASV430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006612785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV648,0,0,0,0,0.006614898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006696429,0,0,0,0,0,0,0
ASV3335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006718346,0,0,0,0,0,0
ASV1137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006718346,0,0,0,0,0,0
ASV2352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006772674,0,0,0,0,0,0,0,0,0,0
ASV3599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006849315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00140647,0,0,0,0,0.005464481
ASV598,0,0,0,0,0,0,0,0,0,0,0,0,0.006872852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2093,0,0,0,0,0,0,0,0,0,0,0,0.002767017,0.004123711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2056,0,0.00692555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1528,0,0,0,0,0,0,0,0.005102041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001587302,0,0,0,0.000248385
ASV468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006940192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1751,0,0,0,0,0,0,0,0,0,0,0,0.005534034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001488095,0,0,0,0,0,0,0
ASV2599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007032349,0,0,0,0,0
ASV2552,0,0,0,0,0.000287604,0,0.006818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1807,0.000937207,0,0.000624805,0,0,0,0,0.004081633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000294464,0,0,0,0,0,0,0,0.001228501,0,0
ASV2051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007203179
ASV2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007203179
ASV3184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007235142,0,0,0,0,0,0
ASV3455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00723589,0
ASV1761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00734127,0,0,0,0
ASV1762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00734127,0,0,0,0
ASV556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007348438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007383966,0,0,0,0,0
ASV2253,0,0,0.007497657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV595,0,0,0,0,0.000575209,0,0,0,0,0,0,0,0,0,0,0,0,0.005630143,0,0.001428863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1063,0,0,0.000312402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007539683,0,0,0,0
