,MAT,TAP
1-0-5-ITS,10.6,962
1239-0-5-ITS,12.5,1118
1239-5-10-ITS,12.5,1118
1250-0-5-ITS,12.3,1181
1250-5-10-ITS,12.3,1181
13-5-10-ITS,10.6,997
1338-0-5-ITS,12.4,1159
1338-5-10-ITS,12.4,1159
1387-0-5-ITS,12.6,1088
1387-5-10-ITS,12.6,1088
522-0-5-ITS,12.2,1133
522-5-10-ITS,12.2,1133
672-5-10-ITS,12.2,1170
717-5-10-ITS,12.1,1220
856-0-5-ITS,12.2,1169
856-5-10-ITS,12.2,1169
98-0-5-ITS,12,1149
98-5-10-ITS,12,1149
1859-5-10-ITS2,12.7,1325
1601-5-10-ITS2,13,1013
1601-0-5-ITS2,13,1013
1619-0-5-ITS2,13,1023
1619-5-10-ITS2,13,1023
1832-0-5-ITS2,12.6,1297
1832-5-10-ITS2,12.6,1297
1850-0-5-ITS2,13,1213
1850-5-10-ITS2,13,1213
1859-0-5-ITS2,12.7,1325
1875-0-5-ITS2,13,1064
1875-5-10-ITS2,13,1064
1973-5-10-ITS2,12.9,1111
1973-0-5-ITS2,12.9,1111
2355-0-5-ITS2,13,1005
2352-0-5-ITS2,12.8,1043
2355-5-10-ITS2,13,1005
2597-0-5-ITS2,12.7,1240
2398-0-5-ITS2,12.9,1010
2398-5-10-ITS2,12.9,1010
2500-0-5-ITS2,12.9,1092
2500-5-10-ITS2,12.9,1092
2352-5-10-ITS2,12.8,1043
2537-0-5-ITS2,13.1,1057
2537-5-10-ITS2,13.1,1057
2597-5-10-ITS2,12.7,1240
2629-0-5-ITS2,12.6,1242
2629-5-10-ITS2,12.6,1242
2869-0-5-ITS2,13,1161
2893-0-5-ITS2,13.1,1123
2893-5-10-ITS2,13.1,1123
2923-0-5-ITS2,13.4,995
2923-5-10-ITS2,13.4,995
2869-5-10-ITS2,13,1161
3239-0-5-ITS2,13.5,1185
3239-5-10-ITS2,13.5,1185
3381-0-5-ITS2,13.6,1093
3381-5-10-ITS2,13.6,1093
3409-5-10-ITS2,13.5,1188
3409-0-5-ITS2,13.5,1188
3500-0-5-ITS2,13.1,1313
3667-0-5-ITS2,13.3,1318
3667-5-10-ITS2,13.3,1318
3682-0-5-ITS2,13.3,1197
3682-5-10-ITS2,13.3,1197
3779-0-5-ITS2,13.4,1272
3779-5-10-ITS2,13.4,1272
3907-0-5-ITS2,13.2,1047
3907-5-10-ITS2,13.2,1047
473-0-5-ITS2,11.9,1197
473-5-10-ITS2,11.9,1197
554-0-5-ITS2,12.2,1133
554-5-10-ITS2,12.2,1133
672-0-5-ITS2,12.2,1170
717-0-5-ITS2,12.1,1220