,GPS_LAT,GPS_LON
1-0-5-ITS,40.822606,-85.670739
1239-0-5-ITS,39.139028,-86.324
1250-0-5-ITS,39.136556,-86.301806
1338-0-5-ITS,39.120333,-86.341139
1387-0-5-ITS,39.110528,-86.326
522-0-5-ITS,39.320778,-86.446194
856-0-5-ITS,39.238972,-86.314778
98-0-5-ITS,39.418047,-86.839169
1601-0-5-ITS2,38.988417,-87.230556
1619-0-5-ITS2,38.979306,-87.255861
1832-0-5-ITS2,38.81355,-86.045369
1850-0-5-ITS2,38.807333,-86.0801
1859-0-5-ITS2,38.801075,-86.056
1875-0-5-ITS2,38.783486,-86.736597
1973-0-5-ITS2,38.728281,-86.000297
2355-0-5-ITS2,38.632875,-85.862475
2352-0-5-ITS2,38.634083,-85.871997
2597-0-5-ITS2,38.553986,-85.871006
2398-0-5-ITS2,38.608133,-85.864053
2500-0-5-ITS2,38.576433,-85.810544
2537-0-5-ITS2,38.566861,-85.799506
2629-0-5-ITS2,38.544106,-85.851144
2869-0-5-ITS2,38.475722,-85.881522
2893-0-5-ITS2,38.469825,-85.878767
2923-0-5-ITS2,38.462331,-85.865017
3239-0-5-ITS2,38.251697,-86.786417
3381-0-5-ITS2,38.224811,-86.278439
3409-0-5-ITS2,38.221775,-86.329614
3500-0-5-ITS2,38.207078,-86.255267
3667-0-5-ITS2,38.170672,-86.252908
3682-0-5-ITS2,38.168833,-86.195892
3779-0-5-ITS2,38.135111,-86.20705
3907-0-5-ITS2,38.731572,-85.907636
473-0-5-ITS2,39.325408,-86.422883
554-0-5-ITS2,39.318361,-86.443
672-0-5-ITS2,39.304419,-86.449067
717-0-5-ITS2,39.2985,-86.383417