,tree_richness,AMdominance,AMtreerichness,EMtreerichness
1-0-5-ITS,1,1,1,0
1239-0-5-ITS,2,0.286,1,1
1250-0-5-ITS,1,1,1,0
1338-0-5-ITS,4,0.055,1,3
1387-0-5-ITS,2,0.168,1,1
522-0-5-ITS,6,0.427,3,3
856-0-5-ITS,3,0.721,2,1
98-0-5-ITS,2,0.785,1,1
1601-0-5-ITS2,5,0.813,4,1
1619-0-5-ITS2,1,1,1,0
1832-0-5-ITS2,2,0.023,1,1
1850-0-5-ITS2,5,0.134,2,3
1859-0-5-ITS2,3,1,2,0
1875-0-5-ITS2,2,0,0,2
1973-0-5-ITS2,5,1,5,0
2355-0-5-ITS2,3,0.071,1,2
2352-0-5-ITS2,1,1,1,0
2597-0-5-ITS2,4,0.378,2,2
2398-0-5-ITS2,4,0.133,2,2
2500-0-5-ITS2,2,0.724,1,1
2537-0-5-ITS2,2,0,0,2
2629-0-5-ITS2,2,0.037,1,1
2869-0-5-ITS2,2,0.905,1,1
2893-0-5-ITS2,3,0.047,1,2
2923-0-5-ITS2,2,1,2,0
3239-0-5-ITS2,3,0.826,2,1
3381-0-5-ITS2,3,0.942,2,1
3409-0-5-ITS2,1,0,0,1
3500-0-5-ITS2,2,0.443,1,1
3667-0-5-ITS2,3,0.156,2,1
3682-0-5-ITS2,3,1,3,0
3779-0-5-ITS2,4,1,2,0
3907-0-5-ITS2,4,0.39,3,1
473-0-5-ITS2,1,1,1,0
554-0-5-ITS2,2,0.093,1,1
672-0-5-ITS2,2,0.079,1,1
717-0-5-ITS2,3,0.512,2,1